,factors,num_factors,cv_score,cv_score_std
2692,"['c11_fcc', 'thermal_expansion_coeff_fcc', 'relaxation_volume_fcc']",3,-0.2854754602224429,0.08005243194506385
2498,"['c11_bcc', 'surface_energy_110_bcc', 'unstable_twinning_energy_fcc']",3,-0.28549288779870385,0.06341190918573848
1024,"['lattice_constant_fcc', 'c12_sc', 'relaxed_formation_potential_energy_fcc']",3,-0.2855147929857569,0.06757115975054011
1153,"['lattice_constant_fcc', 'unstable_twinning_energy_fcc', 'relaxation_volume_fcc']",3,-0.28552916245370774,0.0854681885261719
2565,"['c11_fcc', 'c11_sc', 'relaxed_formation_potential_energy_fcc']",3,-0.2855660903046599,0.06869103833619732
1893,"['bulk_modulus_fcc', 'c12_bcc', 'relaxation_volume_fcc']",3,-0.2855669510260177,0.06921819398190936
2605,"['c11_fcc', 'c12_fcc', 'relaxation_volume_fcc']",3,-0.28557058853605216,0.07610488350695875
1261,"['lattice_constant_sc', 'c11_fcc', 'c12_sc']",3,-0.2855736735822943,0.07912390589370148
1232,"['lattice_constant_sc', 'bulk_modulus_sc', 'relaxed_formation_potential_energy_fcc']",3,-0.2856314888611976,0.05336807221193481
1667,"['bulk_modulus_bcc', 'c44_bcc', 'vacancy_migration_energy_fcc']",3,-0.2856659364869445,0.06036713993357932
3846,"['thermal_expansion_coeff_fcc', 'unstable_stack_energy_fcc', 'vacancy_migration_energy_fcc']",3,-0.28578093320407855,0.0713299187305023
2609,"['c11_fcc', 'c12_sc', 'cohesive_energy_fcc']",3,-0.28578967701842456,0.0702547679472869
536,"['lattice_constant_bcc', 'bulk_modulus_fcc', 'relaxation_volume_fcc']",3,-0.28583169727997537,0.0710830825743308
3385,"['c12_sc', 'unstable_stack_energy_fcc', 'unrelaxed_formation_potential_energy_fcc']",3,-0.2858394155396149,0.08683842189692098
3808,"['thermal_expansion_coeff_fcc', 'surface_energy_100_fcc', 'unstable_twinning_energy_fcc']",3,-0.2858877605749661,0.07657621750599
2316,"['bulk_modulus_sc', 'unrelaxed_formation_potential_energy_fcc', 'relaxation_volume_fcc']",3,-0.28593276756717123,0.056910097838711315
986,"['lattice_constant_fcc', 'c12_bcc', 'unstable_stack_energy_slip_fraction_fcc']",3,-0.28593629370353363,0.07374085780335526
694,"['lattice_constant_bcc', 'c44_fcc', 'cohesive_energy_fcc']",3,-0.2859470815119131,0.05755077454702812
592,"['lattice_constant_bcc', 'c11_fcc', 'surface_energy_110_bcc']",3,-0.28594772213066727,0.06943862440322068
2597,"['c11_fcc', 'c12_fcc', 'intr_stack_fault_energy_fcc']",3,-0.28597332327631375,0.06010005999132986
3041,"['c12_bcc', 'cohesive_energy_fcc', 'relaxation_volume_fcc']",3,-0.2860089288603558,0.06900878848893321
446,"['lattice_constant_bcc', 'lattice_constant_fcc', 'c44_fcc']",3,-0.2860094980967394,0.05757498124805974
1890,"['bulk_modulus_fcc', 'c12_bcc', 'relaxed_formation_potential_energy_fcc']",3,-0.28601197192926675,0.06599695215926525
2570,"['c11_fcc', 'c12_bcc', 'c12_sc']",3,-0.2860169016896405,0.0664335218937409
3741,"['cohesive_energy_fcc', 'surface_energy_100_fcc', 'unstable_stack_energy_slip_fraction_fcc']",3,-0.286018373282754,0.06005448015601547
