,Unnamed: 0,crystal_type,species,model,lattice_constant_bcc,lattice_constant_fcc,lattice_constant_sc,bulk_modulus_bcc,bulk_modulus_fcc,bulk_modulus_sc,c44_bcc,c44_fcc,c44_sc,c12_bcc,c12_fcc,c12_sc,c11_bcc,c11_fcc,c11_sc,cohesive_energy_bcc,cohesive_energy_fcc,cohesive_energy_sc,thermal_expansion_coeff_fcc,surface_energy_100_fcc,surface_energy_110_fcc,surface_energy_111_fcc,surface_energy_121_fcc,extr_stack_fault_energy_fcc,intr_stack_fault_energy_fcc,unstable_stack_energy_fcc,unstable_stack_energy_slip_fraction_fcc,unstable_twinning_energy_fcc,unstable_twinning_energy_slip_fraction_fcc,relaxed_formation_potential_energy_bcc,relaxed_formation_potential_energy_fcc,relaxed_formation_potential_energy_hcp,unrelaxed_formation_potential_energy_bcc,unrelaxed_formation_potential_energy_fcc,unrelaxed_formation_potential_energy_hcp,vacancy_migration_energy_bcc,vacancy_migration_energy_fcc,vacancy_migration_energy_hcp,vacancy_migration_energy_sc,relaxation_volume_bcc,relaxation_volume_fcc,relaxation_volume_hcp,coeff,coeff_actual,coeff_pred
114,114,fcc,Cu,MEAM_LAMMPS_MirazDhariwalMeng_2020_CuNTi__MO_122936827583_002,2.872161030769348,3.613315634429455,2.330113634467125,125.97505407247834,124.3719728548793,90.51905553965332,110.65305944356464,100.1533961412077,-31.21912904621478,123.32486410159396,107.6737392639634,-148.70543781600963,131.27543401424714,157.7684400367111,568.9680422509792,3.529022725289909,3.540000000180642,3.1457050811995253,1.7016472896001727e-05,0.0879213508370719,0.0967901145093806,0.0821902792710883,0.0938542218725934,0.0015688494288048,0.0015662669781106,0.0090978336194925,0.515937500000002,0.0098673298496336,1.49953124999999,,1.6224364409192085,,,1.7328570200244275,,,0.9777174297137732,,,,2.2502885025171047,,1.8239945287569768,1.8239945287569768,1.7857476572792514
115,115,fcc,Cu,MEAM_LAMMPS_WangOhLee_2020_CuMo__MO_380272712420_002,2.850979268550873,3.613315671682358,2.352952927350998,138.36798419696777,141.9839554002222,103.1945479440872,119.74065563320156,81.77513836558391,16.082286906345416,159.3111304287353,124.90760310752482,-43.54752500173251,96.48169173343268,176.13665998561692,396.6786938357266,3.4586495278695017,3.540000000135639,3.128343743317396,1.684214304747968e-05,0.08520201707496,0.0877599664577271,0.0729680293751086,0.0855136558832336,0.0026449105468378,0.0026377282587589,0.0180530715283871,0.507441406249999,0.0193605983810435,1.49994140624999,,1.1112917998313336,,,1.1276056510606636,,,1.0864792980669211,,,,2.932335362662413,,1.7100234517102582,1.7100234517102582,1.6808946682760708
116,116,fcc,Cu,SNAP_ZuoChenLi_2019quadratic_Cu__MO_265210066873_000,2.9032087326049805,3.635521709918976,2.408456042408943,103.13820490896082,142.25405312692524,206.7638969461172,85.66199752307915,82.06893535306305,18.16681990959331,109.61361232614829,124.3093962232004,128.9962511113932,90.18739007458592,178.143366934375,362.2991886155653,3.4806431313866524,3.5247234073130285,3.084363928102148,2.1207505825749476e-05,0.0923581698929776,0.0987460193284584,0.0737439151476361,0.0913904067433765,0.0006330198285191,0.0006277948539183,0.0093196431036881,0.510937499999996,0.0096207863317146,1.49964843749997,,1.1493851315879586,,,1.1632026868279597,,,0.7284131246586856,,,,2.799707252392992,,1.6828210661537872,1.6828210661537872,1.3812601849721307
117,117,fcc,Cu,EAM_Dynamo_ZhouJohnsonWadley_2004_CuAgAuNiPdPtAlPbFeMoTaWMgCoTiZr__MO_870117231765_000,2.9318635165691376,3.6149601191282272,2.4091611355543137,141.69304571474547,137.96753538764546,155.832701923502,80.81240254326146,75.74532461475661,-0.653773780001787,146.15480216665256,122.13710194096772,63.34166789480353,132.7695328109313,169.62840228100092,340.81476998089903,3.502244169053436,3.539994982213679,3.2171350017935647,2.892097792633851e-05,0.0975637359264495,0.1087779029356342,0.0937047542936628,0.1064689062803442,,,,,,,,1.2752751732864878,,,1.396873006212503,,,0.551483938363305,,,,3.5037360724444144,,1.338688401140476,1.338688401140476,1.3353795328925748
118,118,fcc,Fe,Sim_LAMMPS_MEAM_EtesamiAsadi_2018_Fe__SM_267016608755_000,,,,173.46062884315955,168.81088229822922,95.01535264713074,126.08028881517612,82.25502061048844,-83.17704478631246,127.30331025899925,149.48327189700666,27.968088143506503,265.77526601148026,207.46610310067436,229.1098816543792,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6217176667251778,1.6217176667251778,1.7673426539257402
119,119,fcc,Fe,Sim_LAMMPS_MEAM_JelinekGrohHorstemeyer_2012_AlSiMgCuFe__SM_656517352485_000,2.8509988859295845,3.59372915327549,2.372587397694588,166.33709717284137,161.73064308197706,148.49084859593725,125.5627637205454,86.21736751840463,11.980094933715703,137.25030594598016,136.32830346036135,27.362928083961307,224.51067962656376,212.5353223252085,390.74668961988914,4.279998132361639,4.272311462776078,3.513220417328048,,,,,,,,,,,,1.633106671275105,,,2.399906702455815,,,0.0831441121596164,,,,6.149196726587757,,,1.6773467774429092,1.6773467774429092,1.7322886831325912
120,120,fcc,Fe,EAM_Dynamo_AcklandBaconCalder_1997_Fe__MO_142799717516_005,2.866499960422516,3.6800446957349777,2.3394894152879715,178.05984115746276,143.53178992684616,51.23598918112,116.66275668504476,97.47392660103569,-125.5395532945198,145.27425890168294,121.6416425323561,-90.1536481408944,243.6310056690224,187.31208471582624,334.0152638251488,4.316000049480649,4.261839362652918,3.237841658306853,,,,,,,,,,,,1.7034892339773495,,,1.890083647765597,,,0.7809598813885491,,,,2.1362197547682307,,,1.812424176665805,1.812424176665805,1.7224967276459133
121,121,fcc,Fe,EAM_Dynamo_BonnyCastinTerentyev_2013_FeNiCr__MO_763197941039_000,2.8599988371133804,3.56200759857893,2.389520652592182,164.29044491756397,132.6539465943826,398.0640731811913,109.6754872797535,77.4350464782233,71.50372697496874,153.8274767660262,121.97068779154408,109.72701035607744,185.21638122063948,154.02046420005965,974.738198831419,4.280293974651676,4.399647222929191,3.974021101002179,,,,,,,,,,,,-65.20818285383241,,,1.993878043403082,,,9.969129000406996,,,,-295.40340048103303,,,1.8190504973525012,1.8190504973525012,1.9896049524040313
122,122,fcc,Fe,EAM_Dynamo_SunZhangMendelev_2022_Fe__MO_044341472608_000,2.84364253282547,3.4301372170448303,2.4502217024564743,176.23279621723432,461.6420081336663,166.1363623116143,103.69116304996513,258.8718133644638,56.53660640345436,141.44593906987086,325.4259167397092,82.8126535429109,245.80651051196125,734.0741909215805,332.7837798490212,4.021642482175027,3.9906530008386514,3.847407795696926,,,,,,,,,,,,0.8447647959761512,,,1.5300212955721832,,,-0.1381581287290269,,,,1.7929577635119265,,,0.9835951698245003,0.9835951698245003,1.6704775566364267
123,123,fcc,Fe,EAM_Dynamo_BelandTammMu_2017_FeNiCr__MO_715003088863_000,2.86696694791317,3.498696342110634,2.322209104895592,,113.888090003641,127.40525906336076,,108.3448878945605,-22.92585695596266,,100.30998221805336,-48.7754457125896,,141.04430557481635,479.7666686152615,4.004536246433911,4.116631417070786,3.658297835481857,,,,,,,,,,,,,,,,,,-1.1379449540744515,,,,,,,1.8274380323125068,1.8274380323125068,1.7146270172467093
