,$E_0$,VME FCC,rVFPE FCC,uSFE FCC,uVFPE FCC,C44 FCC,SE110 FCC,SE100 FCC,uTwE FCC,SE121 FCC,CohEn. FCC,Bulk Mod. FCC,C11 FCC,CohEn. BCC,C12 FCC,SE111 FCC,C44 BCC,C11 SC,CohEn. SC,Bulk Mod. SC,C12 BCC,VRV BCC,Bulk Mod. BCC,iSFE FCC,eSFE FCC,TEC BCC,C11 BCC,VME BCC,uVFPE BCC,C12 SC,C44 SC,uSFE SF FCC,SE111 BCC,uTwESF FCC,SE100 BCC,SE121 BCC,SE110 BCC,VRV FCC,TEC FCC,rVFPE BCC,LC FCC,LC SC,LC BCC
C11 SC,0.6,0.6,0.63,0.45,0.58,0.55,0.51,0.49,0.43,0.5,0.46,0.51,0.46,0.45,0.52,0.46,0.51,1.0,0.43,0.84,0.33,0.48,0.31,0.13,0.14,0.24,0.14,0.3,-0.54,-0.05,0.05,-0.13,-0.72,-0.15,-0.7,-0.81,-0.75,-0.21,-0.32,-0.89,-0.53,-0.58,-0.53
CohEn. SC,0.57,0.47,0.51,0.57,0.54,0.49,0.48,0.47,0.6,0.45,0.92,0.67,0.65,0.93,0.65,0.4,0.37,0.43,1.0,0.51,0.47,0.01,0.36,0.39,0.4,-0.02,-0.01,0.18,0.48,0.25,-0.04,0.09,0.09,0.02,0.06,0.03,0.08,-0.05,-0.23,-0.12,-0.47,-0.38,-0.36
Bulk Mod. SC,0.48,0.34,0.51,0.38,0.51,0.41,0.45,0.44,0.36,0.43,0.52,0.63,0.56,0.51,0.66,0.4,0.46,0.84,0.51,1.0,0.47,0.44,0.44,0.16,0.15,0.2,0.18,0.39,-0.49,0.5,0.05,0.03,-0.62,-0.07,-0.58,-0.69,-0.63,-0.1,-0.25,-0.83,-0.39,-0.4,-0.36
C12 BCC,0.46,0.37,0.41,0.55,0.45,0.23,0.48,0.51,0.5,0.45,0.48,0.63,0.55,0.44,0.66,0.44,0.79,0.33,0.47,0.47,1.0,0.78,0.91,0.25,0.22,0.19,0.32,-0.01,-0.4,0.34,0.09,0.34,-0.39,-0.15,-0.39,-0.58,-0.46,-0.01,-0.27,-0.67,-0.15,-0.17,-0.19
VRV BCC,0.43,,,,,-0.22,,,,,0.08,-0.13,-0.16,0.06,-0.08,,0.88,0.48,0.01,0.44,0.78,1.0,0.72,,,0.08,0.46,-0.37,-0.46,0.05,-0.45,,-0.14,,-0.08,-0.31,-0.16,,,-0.31,-0.02,-0.07,0.06
Bulk Mod. BCC,0.39,0.3,0.37,0.37,0.41,0.26,0.46,0.47,0.34,0.45,0.41,0.59,0.51,0.39,0.62,0.45,0.86,0.31,0.36,0.44,0.91,0.72,1.0,0.19,0.18,-0.19,0.67,-0.06,0.12,0.31,0.01,0.32,0.25,-0.1,0.24,0.15,0.19,-0.01,-0.24,0.19,-0.2,-0.23,-0.25
iSFE FCC,0.3,0.29,0.15,0.57,0.18,0.18,0.28,0.26,0.72,0.26,0.32,0.24,0.34,0.31,0.15,0.22,0.21,0.13,0.39,0.16,0.25,,0.19,1.0,0.94,,-0.02,,,0.08,0.09,0.59,,0.26,,,,0.12,-0.19,,-0.19,-0.17,-0.21
eSFE FCC,0.21,0.25,0.12,0.49,0.16,0.13,0.24,0.22,0.69,0.22,0.26,0.19,0.28,0.27,0.11,0.2,0.17,0.14,0.4,0.15,0.22,,0.18,0.94,1.0,,0.01,,,0.05,0.1,0.58,,0.42,,,,0.34,-0.16,,-0.17,-0.14,-0.18
TEC BCC,0.12,,,,,-0.06,,,,,-0.13,0.01,-0.04,-0.17,0.06,,-0.07,0.24,-0.02,0.2,0.19,0.08,-0.19,,,1.0,-0.33,-0.34,-0.33,-0.08,-0.14,,-0.23,,-0.22,-0.26,-0.2,,,-0.46,-0.27,-0.56,-0.22
C11 BCC,0.07,0.02,0.13,-0.15,0.14,0.19,0.21,0.18,-0.13,0.24,0.07,0.24,0.2,0.11,0.26,0.25,0.58,0.14,-0.01,0.18,0.32,0.46,0.67,-0.02,0.01,-0.33,1.0,-0.06,0.36,0.12,-0.15,0.15,0.51,0.04,0.5,0.48,0.47,-0.01,-0.06,0.58,-0.2,-0.22,-0.24
VME BCC,-0.03,,,,,-0.11,,,,,0.05,-0.16,-0.13,0.03,-0.19,,-0.18,0.3,0.18,0.39,-0.01,-0.37,-0.06,,,-0.34,-0.06,1.0,0.14,0.42,0.49,,-0.28,,-0.32,-0.19,-0.35,,,-0.12,0.03,0.09,0.02
uVFPE BCC,-0.07,,,,,0.0,,,,,0.54,-0.13,-0.1,0.59,-0.15,,-0.18,-0.54,0.48,-0.49,-0.4,-0.46,0.12,,,-0.33,0.36,0.14,1.0,-0.02,0.28,,0.53,,0.47,0.64,0.51,,,0.64,0.66,0.68,0.58
C12 SC,-0.08,-0.25,-0.02,-0.0,0.05,-0.13,0.04,0.04,-0.01,0.02,0.23,0.35,0.3,0.22,0.37,0.03,0.04,-0.05,0.25,0.5,0.34,0.05,0.31,0.08,0.05,-0.08,0.12,0.42,-0.02,1.0,0.02,0.24,0.11,0.09,0.16,0.13,0.16,0.12,0.04,-0.12,0.12,0.19,0.17
C44 SC,-0.17,0.01,-0.28,0.04,-0.27,-0.11,-0.15,-0.13,0.06,-0.14,-0.21,-0.06,0.02,-0.24,-0.12,-0.12,-0.03,0.05,-0.04,0.05,0.09,-0.45,0.01,0.09,0.1,-0.14,-0.15,0.49,0.28,0.02,1.0,0.02,-0.23,-0.07,-0.27,-0.07,-0.15,0.13,0.1,0.27,0.24,0.26,0.25
uSFE SF FCC,-0.18,-0.26,-0.13,0.07,-0.06,-0.17,0.02,-0.01,0.19,0.02,-0.0,-0.03,-0.01,0.01,-0.05,0.02,0.19,-0.13,0.09,0.03,0.34,,0.32,0.59,0.58,,0.15,,,0.24,0.02,1.0,,0.36,,,,0.27,0.11,,0.07,0.13,0.11
